k=13 lam=1.8188:
  d3   #classes    3^d*dens   E[log2 v]   min log2 v   flow-share  flow*3^d
  1    354,294    2.000        -5.553     -7.804    0.51376   1.541
  2    118,098    2.000        -4.815     -6.648    0.26015   2.341
  3    39,366     2.000        -4.271     -5.969    0.12271   3.313
  4    13,122     2.000        -3.770     -5.294    0.05667   4.591
  5    4,374      2.000        -3.294     -4.694    0.02587   6.287
  6    1,458      2.000        -2.840     -4.129    0.01165   8.492
  7    486        2.000        -2.406     -3.583    0.00518   11.328
  8    162        2.000        -1.981     -3.046    0.00229   14.999
  9    54         2.000        -1.575     -2.520    0.00100   19.634
  10   18         2.000        -1.180     -2.002    0.00043   25.307
  11   6          2.000        -0.814     -1.489    0.00018   32.097
k=15 lam=1.8420:
  d3   #classes    3^d*dens   E[log2 v]   min log2 v   flow-share  flow*3^d
  1    3,188,646  2.000        -6.589     -9.012    0.50876   1.526
  2    1,062,882  2.000        -5.834     -7.824    0.25991   2.339
  3    354,294    2.000        -5.272     -7.141    0.12401   3.348
  4    118,098    2.000        -4.753     -6.443    0.05804   4.701
  5    39,366     2.000        -4.256     -5.829    0.02690   6.536
  6    13,122     2.000        -3.780     -5.256    0.01231   8.971
  7    4,374      2.000        -3.319     -4.700    0.00558   12.202
  8    1,458      2.000        -2.870     -4.151    0.00251   16.467
  9    486        2.000        -2.435     -3.615    0.00112   22.001
  10   162        2.000        -2.009     -3.087    0.00049   29.172
  11   54         2.000        -1.600     -2.564    0.00022   38.283
