k=13 lam=1.8188  stratify by d4 = v3(m+4)  [DESERT?]:
  d    #classes     E[log2 v]   min log2 v   flow*3^d
  1    354,294       -4.621     -6.648    2.642
  2    118,098       -6.178     -7.659    0.837
  3    39,366        -6.847     -7.698    0.490
  4    13,122        -7.006     -7.804    0.432
  5    4,374         -6.864     -7.537    0.471
  6    1,458         -7.104     -7.696    0.395
  7    486           -7.149     -7.571    0.378
  8    162           -7.133     -7.437    0.382
  9    54            -6.932     -7.274    0.439
  10   18            -7.109     -7.190    0.385

k=13 lam=1.8188  stratify by d2 = v3(m-2):
  d    #classes     E[log2 v]   min log2 v   flow*3^d
  1    354,294       -5.484     -7.804    1.816
  2    118,098       -4.652     -6.078    2.476
  3    39,366        -4.775     -5.933    2.181
  4    13,122        -4.808     -5.809    2.034
  5    4,374         -4.654     -5.390    2.181
  6    1,458         -4.567     -5.249    2.288
  7    486           -4.646     -5.171    2.151
  8    162           -4.721     -5.144    2.030
  9    54            -4.810     -5.127    1.903
  10   18            -4.874     -5.050    1.814

k=15 lam=1.8420  stratify by d4 = v3(m+4)  [DESERT?]:
  d    #classes     E[log2 v]   min log2 v   flow*3^d
  1    3,188,646     -5.635     -7.824    2.653
  2    1,062,882     -7.225     -8.873    0.817
  3    354,294       -7.915     -8.918    0.468
  4    118,098       -8.078     -9.012    0.411
  5    39,366        -7.928     -8.751    0.450
  6    13,122        -8.186     -8.884    0.371
  7    4,374         -8.232     -8.764    0.354
  8    1,458         -8.221     -8.647    0.356
  9    486           -7.987     -8.444    0.420
  10   162           -8.190     -8.370    0.360

k=15 lam=1.8420  stratify by d2 = v3(m-2):
  d    #classes     E[log2 v]   min log2 v   flow*3^d
  1    3,188,646     -6.516     -9.012    1.821
  2    1,062,882     -5.668     -7.250    2.472
  3    354,294       -5.796     -7.110    2.164
  4    118,098       -5.832     -6.963    2.005
  5    39,366        -5.671     -6.529    2.151
  6    13,122        -5.581     -6.402    2.256
  7    4,374         -5.666     -6.312    2.108
  8    1,458         -5.749     -6.268    1.977
  9    486           -5.842     -6.236    1.844
  10   162           -5.913     -6.149    1.749

